meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1234,9507,4,211.0,185,305,2024-05-05T20:05:03.347000+00:00,94.199,False,32.214,35.711,26.274,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",2
1234,9507,4,,182,299,2024-05-05T20:06:37.373000+00:00,93.687,False,31.766,35.697,26.224,"[None, 2049, 2048, 2049, 2051, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049]",3
1234,9507,4,,183,305,2024-05-05T20:08:11.106000+00:00,93.674,False,31.834,35.786,26.054,"[2048, 2048, 2049, 2048, 2051, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2049]",4
1234,9507,4,207.0,184,302,2024-05-05T20:09:44.701000+00:00,93.26,False,31.583,35.645,26.032,"[2049, 2049, 2049, 2048, 2051, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]",5
1234,9507,4,209.0,182,308,2024-05-05T20:11:17.977000+00:00,93.172,False,31.622,35.555,25.995,"[2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",6
1234,9507,4,208.0,184,310,2024-05-05T20:12:51.171000+00:00,93.165,False,31.65,35.508,26.007,"[None, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2048]",7
1234,9507,4,210.0,183,309,2024-05-05T20:14:24.264000+00:00,92.999,False,31.604,35.428,25.967,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",8
1234,9507,4,207.0,182,311,2024-05-05T20:15:57.352000+00:00,93.429,False,31.724,35.615,26.09,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",9
1234,9507,4,206.0,183,318,2024-05-05T20:17:30.902000+00:00,93.23,False,31.754,35.549,25.927,"[None, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1234,9507,4,209.0,184,304,2024-05-05T20:19:03.944000+00:00,93.432,False,31.625,35.785,26.022,"[2049, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]",11
1234,9507,4,206.0,183,314,2024-05-05T20:20:37.456000+00:00,93.427,False,31.757,35.641,26.029,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2049]",12
1234,9507,4,,183,327,2024-05-05T20:22:10.766000+00:00,93.502,False,31.771,35.753,25.978,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048]",13
1234,9507,4,208.0,183,310,2024-05-05T20:23:44.370000+00:00,93.764,False,31.893,35.884,25.987,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049]",14
1234,9507,4,,183,322,2024-05-05T20:25:18.074000+00:00,93.472,False,31.733,35.813,25.926,"[2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",15
1234,9507,4,209.0,183,318,2024-05-05T20:26:51.651000+00:00,93.191,False,31.564,35.686,25.941,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 0]",16
1234,9507,4,210.0,186,325,2024-05-05T20:28:24.739000+00:00,93.463,False,31.729,35.603,26.131,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",17
1234,9507,4,209.0,184,310,2024-05-05T20:29:58.142000+00:00,93.15,False,31.495,35.607,26.048,"[None, 2048, 2048, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",18
1234,9507,4,211.0,184,311,2024-05-05T20:31:31.352000+00:00,92.476,False,31.179,35.329,25.968,"[None, 2048, 2049, 2051, 2051, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",19
1234,9507,4,209.0,183,309,2024-05-05T20:33:03.911000+00:00,92.421,False,31.208,35.278,25.935,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2051, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",20
1234,9507,4,,183,316,2024-05-05T20:34:36.250000+00:00,92.329,False,31.083,35.329,25.917,"[None, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",21
1234,9507,4,208.0,182,313,2024-05-05T20:36:08.612000+00:00,92.517,False,31.138,35.452,25.927,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",22
1234,9507,4,136.0,186,318,2024-05-05T20:37:41.150000+00:00,106.891,False,37.959,43.102,25.83,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",23
1234,9507,4,210.0,184,317,2024-05-05T20:39:27.964000+00:00,91.982,False,30.826,35.283,25.873,"[None, 2049, 2051, 2051, 2051, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",24
1234,9507,4,211.0,184,314,2024-05-05T20:40:59.960000+00:00,92.171,False,31.017,35.257,25.897,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",25
1234,9507,4,,184,313,2024-05-05T20:42:32.205000+00:00,92.153,False,30.933,35.271,25.949,"[None, 2048, 2048, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",26
1234,9507,4,208.0,184,319,2024-05-05T20:44:04.390000+00:00,92.162,False,31.064,35.253,25.845,"[None, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",27
1234,9507,4,211.0,185,314,2024-05-05T20:45:36.436000+00:00,92.042,False,30.83,35.276,25.936,"[None, 2048, 2051, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",28
1234,9507,4,165.0,119,229,2024-05-05T20:47:08.500000+00:00,133.364,False,45.796,47.25,40.318,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",29
1234,9507,4,209.0,113,288,2024-05-05T20:49:21.836000+00:00,138.015,True,53.125,49.462,35.428,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",30
1234,9507,4,207.0,164,184,2024-05-05T20:51:39.917000+00:00,117.513,False,38.753,40.571,38.189,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",31
1234,9507,4,109.0,147,115,2024-05-05T20:53:37.430000+00:00,156.64,False,59.211,58.821,38.608,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2051, 2049, 2048]",32
1234,9507,4,218.0,187,315,2024-05-05T20:56:13.961000+00:00,91.157,False,30.834,34.635,25.688,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2051, 2051]","[2049, 2048, 2048, 2048, 2048, 2051, 2049, 2049, 2051]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",33
1234,9507,4,211.0,187,314,2024-05-05T20:57:45.245000+00:00,91.289,False,30.653,34.896,25.74,"[None, 2048, 2051, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",34
1234,9507,4,213.0,187,315,2024-05-05T20:59:16.539000+00:00,91.391,False,30.786,34.791,25.814,"[None, 2048, 2048, 2051, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",35
1234,9507,4,214.0,187,313,2024-05-05T21:00:48.008000+00:00,91.133,False,30.61,34.764,25.759,"[None, 2049, 2051, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",36
1234,9507,4,,186,314,2024-05-05T21:02:19.084000+00:00,91.074,False,30.519,34.744,25.811,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2051, 2048, 2048]",37
1234,9507,4,213.0,187,316,2024-05-05T21:03:50.079000+00:00,91.134,False,30.649,34.812,25.673,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",38
1234,9507,4,214.0,188,318,2024-05-05T21:05:21.317000+00:00,91.192,False,30.787,34.738,25.667,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",39
1234,9507,4,213.0,187,317,2024-05-05T21:06:52.372000+00:00,91.222,False,30.678,34.83,25.714,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",40
1234,9507,4,,187,318,2024-05-05T21:08:23.649000+00:00,91.059,False,30.482,34.862,25.715,"[None, 2048, 2048, 2048, 2051, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",41
1234,9507,4,211.0,186,316,2024-05-05T21:09:54.738000+00:00,91.34,False,30.737,34.865,25.738,"[None, 2048, 2048, 2049, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",42
1234,9507,4,,186,316,2024-05-05T21:11:26.124000+00:00,91.066,False,30.53,34.797,25.739,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",43
1234,9507,4,,187,319,2024-05-05T21:12:57.126000+00:00,91.18,False,30.563,34.92,25.697,"[None, 2048, 2048, 2048, 2051, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",44
1234,9507,4,212.0,186,316,2024-05-05T21:14:28.386000+00:00,91.068,False,30.453,34.88,25.735,"[None, 2048, 2048, 2048, 2051, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",45
1234,9507,4,215.0,187,317,2024-05-05T21:15:59.559000+00:00,91.352,False,30.499,35.205,25.648,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",46
1234,9507,4,212.0,186,315,2024-05-05T21:17:30.838000+00:00,91.423,False,30.556,35.123,25.744,"[None, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",47
1234,9507,4,,187,316,2024-05-05T21:19:02.152000+00:00,91.135,False,30.529,34.897,25.709,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",48
1234,9507,4,214.0,187,315,2024-05-05T21:20:33.315000+00:00,91.177,False,30.427,35.025,25.725,"[None, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",49
1234,9507,4,213.0,186,317,2024-05-05T21:22:04.409000+00:00,91.227,False,30.338,35.099,25.79,"[None, 2048, 2048, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",50
1234,9507,4,210.0,186,312,2024-05-05T21:23:35.711000+00:00,91.08,False,30.328,35.008,25.744,"[None, 2048, 2048, 2051, 2051, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",51
1234,9507,4,213.0,187,317,2024-05-05T21:25:06.840000+00:00,91.244,False,30.413,35.142,25.689,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",52
1234,9507,4,,187,318,2024-05-05T21:26:38.055000+00:00,91.251,False,30.309,35.186,25.756,"[None, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",53
1234,9507,4,210.0,187,316,2024-05-05T21:28:09.279000+00:00,91.276,False,30.402,35.135,25.739,"[None, 2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",54
