meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1234,9507,11,209.0,183,310,2024-05-05T20:05:02.621000+00:00,93.181,False,31.695,35.497,25.989,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",2
1234,9507,11,207.0,182,302,2024-05-05T20:06:35.643000+00:00,93.521,False,31.821,35.548,26.152,"[2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",3
1234,9507,11,209.0,182,307,2024-05-05T20:08:09.231000+00:00,93.425,False,31.725,35.532,26.168,"[2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",4
1234,9507,11,,182,312,2024-05-05T20:09:42.579000+00:00,93.318,False,31.829,35.42,26.069,"[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]",5
1234,9507,11,210.0,183,316,2024-05-05T20:11:16.038000+00:00,93.198,False,31.696,35.537,25.965,"[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]",6
1234,9507,11,211.0,181,313,2024-05-05T20:12:49.237000+00:00,93.175,False,31.579,35.546,26.05,"[2048, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048]",7
1234,9507,11,209.0,182,314,2024-05-05T20:14:22.323000+00:00,93.147,False,31.845,35.375,25.927,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",8
1234,9507,11,208.0,183,315,2024-05-05T20:15:55.456000+00:00,93.49,False,31.967,35.492,26.031,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9
1234,9507,11,,182,317,2024-05-05T20:17:29.031000+00:00,93.579,False,31.952,35.658,25.969,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1234,9507,11,210.0,182,305,2024-05-05T20:19:02.660000+00:00,93.532,False,31.769,35.672,26.091,"[None, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
1234,9507,11,205.0,182,311,2024-05-05T20:20:36.098000+00:00,93.755,False,31.911,35.596,26.248,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",12
1234,9507,11,206.0,182,311,2024-05-05T20:22:09.891000+00:00,93.971,False,31.964,35.848,26.159,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
