meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1246,9606,4,269.0,258,276.0,2024-09-22T12:05:37.990000+00:00,98.48,False,29.268,41.412,27.8,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2048, 2051, 2048, 2048]","[2051, 2049, 2048, 2048, 2048, 2048, 2049, 2049]",2
1246,9606,4,278.0,260,270.0,2024-09-22T12:07:16.285000+00:00,98.406,False,29.354,41.262,27.79,"[2048, 2048, 2048, 2049, 2051, 2051, 2048, 2049]","[2051, 2051, 2051, 2049, 2048, 2051, 2048, 2048]","[2051, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",3
1246,9606,4,271.0,257,272.0,2024-09-22T12:08:54.852000+00:00,98.446,False,29.399,41.305,27.742,"[None, 2048, 2048, 2048, 2048, 2051, 2049, 2048]","[2048, 2048, 2051, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",4
1246,9606,4,278.0,258,278.0,2024-09-22T12:10:33.380000+00:00,97.938,False,29.034,41.159,27.745,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2051, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2049, 2048, 2051, 2048, 2049, 2049, 2049]",5
1246,9606,4,270.0,257,279.0,2024-09-22T12:12:11.227000+00:00,97.843,False,29.15,41.224,27.469,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2051, 2048, 2048, 2049, 2049]",6
1246,9606,4,272.0,259,,2024-09-22T12:13:49.239000+00:00,97.621,False,29.048,41.128,27.445,"[None, 2048, 2049, 2048, 2048, 2051, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2049, 2049]",7
1246,9606,4,278.0,258,278.0,2024-09-22T12:15:26.791000+00:00,97.082,False,28.919,40.798,27.365,"[None, 2049, 2049, 2048, 2048, 2051, 2049, 2049]","[2051, 2049, 2048, 2048, 2049, 2051, 2048, 2049]","[2048, 2048, 2049, 2051, 2048, 2049, 2048, 2048]",8
1246,9606,4,,257,,2024-09-22T12:17:03.870000+00:00,96.715,False,28.781,40.658,27.276,"[None, 2049, 2051, 2048, 2048, 2051, 2048, 2049]","[2051, 2051, 2048, 2049, 2048, 2048, 2048, 2049]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",9
1246,9606,4,279.0,258,284.0,2024-09-22T12:18:40.623000+00:00,96.83,False,28.727,40.859,27.244,"[None, 2049, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2051, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2049, 2051, 2049]",10
1246,9606,4,278.0,259,280.0,2024-09-22T12:20:17.364000+00:00,96.651,False,28.697,40.842,27.112,"[None, 2049, 2048, 2048, 2049, 2051, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2051, 2048, 2048]","[2051, 2049, 2049, 2051, 2049, 2049, 2048, 2049]",11
1246,9606,4,282.0,260,281.0,2024-09-22T12:21:54.031000+00:00,96.495,False,28.62,40.879,26.996,"[None, 2048, 2048, 2048, 2051, 2051, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",12
1246,9606,4,280.0,260,280.0,2024-09-22T12:23:30.535000+00:00,96.67,False,28.639,40.727,27.304,"[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",13
1246,9606,4,287.0,259,,2024-09-22T12:25:07.207000+00:00,96.832,False,28.803,40.825,27.204,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2051, 2051]",14
1246,9606,4,282.0,259,282.0,2024-09-22T12:26:44.005000+00:00,96.758,False,28.747,40.861,27.15,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2048, 2048]","[2048, 2049, 2048, 2051, 2049, 2049, 2051, 2051]",15
1246,9606,4,281.0,260,280.0,2024-09-22T12:28:20.801000+00:00,96.624,False,28.723,40.93,26.971,"[None, 2048, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]",16
