meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1246,9606,81,289.0,263,277.0,2024-09-22T12:05:42.836000+00:00,98.939,False,29.283,41.853,27.803,"[2049, 2049, 2049, 2049, 2049, 2051, 2048, 2048]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",2
1246,9606,81,285.0,260,275.0,2024-09-22T12:07:21.735000+00:00,99.35,False,29.077,42.332,27.941,"[2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]",3
1246,9606,81,286.0,257,272.0,2024-09-22T12:09:01.105000+00:00,99.356,False,29.343,42.235,27.778,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049]",4
1246,9606,81,287.0,259,279.0,2024-09-22T12:10:40.446000+00:00,98.667,False,29.101,41.853,27.713,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",5
1246,9606,81,286.0,257,283.0,2024-09-22T12:12:19.094000+00:00,98.778,False,29.132,41.923,27.723,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",6
1246,9606,81,287.0,260,278.0,2024-09-22T12:13:57.901000+00:00,98.419,False,29.002,41.742,27.675,"[2048, 2048, 2049, 2049, 2048, 2049, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]",7
1246,9606,81,288.0,261,281.0,2024-09-22T12:15:36.382000+00:00,97.873,False,28.888,41.45,27.535,"[None, 2049, 2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",8
1246,9606,81,289.0,260,282.0,2024-09-22T12:17:14.220000+00:00,98.446,False,29.101,41.692,27.653,"[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]",9
1246,9606,81,,262,283.0,2024-09-22T12:18:52.669000+00:00,98.429,False,29.15,41.615,27.664,"[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
1246,9606,81,,261,,2024-09-22T12:20:31.180000+00:00,98.269,False,29.083,41.491,27.695,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048]",11
1246,9606,81,287.0,262,,2024-09-22T12:22:09.378000+00:00,98.151,False,28.845,41.706,27.6,"[2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",12
1246,9606,81,285.0,262,282.0,2024-09-22T12:23:47.565000+00:00,98.215,False,28.881,41.633,27.701,"[2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",13
1246,9606,81,290.0,262,,2024-09-22T12:25:25.768000+00:00,97.651,False,28.822,41.347,27.482,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",14
1246,9606,81,285.0,262,281.0,2024-09-22T12:27:03.386000+00:00,98.435,False,29.004,41.615,27.816,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",15
1246,9606,81,289.0,261,282.0,2024-09-22T12:28:41.814000+00:00,98.088,False,29.003,41.57,27.515,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 0]",16
