,meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
0,1246,9606,11,282.0,264,259.0,2024-09-22T12:05:45.555000+00:00,99.896,False,29.534,42.418,27.944,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",2
1,1246,9606,11,287.0,264,273.0,2024-09-22T12:07:25.709000+00:00,99.629,False,29.285,42.231,28.113,"[None, 2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2048, 2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2049, 2049, 2049]",3
2,1246,9606,11,292.0,258,288.0,2024-09-22T12:09:05.258000+00:00,99.151,False,28.952,42.239,27.96,"[2048, 2049, 2051, 2049, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",4
3,1246,9606,11,288.0,259,282.0,2024-09-22T12:10:44.423000+00:00,99.064,False,28.78,42.327,27.957,"[2049, 2049, 2051, 2049, 2048, 2049, 2048, 2049]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]",5
4,1246,9606,11,284.0,260,277.0,2024-09-22T12:12:23.333000+00:00,99.256,False,29.067,42.234,27.955,"[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048]",6
5,1246,9606,11,290.0,258,285.0,2024-09-22T12:14:02.613000+00:00,99.133,False,28.99,42.416,27.727,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2051, 2048, 2048]",7
6,1246,9606,11,288.0,267,278.0,2024-09-22T12:15:41.791000+00:00,98.357,False,29.183,41.627,27.547,"[None, 2048, 2048, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",8
7,1246,9606,11,299.0,267,283.0,2024-09-22T12:17:20.149000+00:00,98.681,False,28.951,42.083,27.647,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",9
8,1246,9606,11,294.0,269,294.0,2024-09-22T12:18:58.767000+00:00,98.934,False,28.963,42.183,27.788,"[None, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",10
9,1246,9606,11,296.0,259,287.0,2024-09-22T12:20:37.789000+00:00,99.067,False,28.934,42.18,27.953,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",11
